Results for randomtestcard:\n
Starting tests for "Treasure Map Card"...

Test 1: Seed: 1 - PASSED
Test 2: Seed: 2 - PASSED
Test 3: Seed: 3 - PASSED
Test 4: Seed: 4 - PASSED
Test 5: Seed: 5 - PASSED
Test 6: Seed: 6 - PASSED
Test 7: Seed: 7 - PASSED
Test 8: Seed: 8 - PASSED
Test 9: Seed: 9 - PASSED
Test 10: Seed: 10 - PASSED
Test 11: Seed: 11 - PASSED
Test 12: Seed: 12 - PASSED
Test 13: Seed: 13 - PASSED
Test 14: Seed: 14 - PASSED
Test 15: Seed: 15 - PASSED
Test 16: Seed: 16 - PASSED
Test 17: Seed: 17 - FAILED
  treasure map cards not discarded from hand when the number of treasure maps in the player's hand is 2 or greater
Test 18: Seed: 18 - PASSED
Test 19: Seed: 19 - PASSED
Test 20: Seed: 20 - PASSED
Test 21: Seed: 21 - PASSED
Test 22: Seed: 22 - PASSED
Test 23: Seed: 23 - PASSED
Test 24: Seed: 24 - PASSED
Test 25: Seed: 25 - PASSED
Test 26: Seed: 26 - PASSED
Test 27: Seed: 27 - PASSED
Test 28: Seed: 28 - PASSED
Test 29: Seed: 29 - FAILED
  treasure map cards not discarded from hand when the number of treasure maps in the player's hand is 2 or greater
Test 30: Seed: 30 - PASSED
Test 31: Seed: 31 - PASSED
Test 32: Seed: 32 - PASSED
Test 33: Seed: 33 - PASSED
Test 34: Seed: 34 - PASSED
Test 35: Seed: 35 - PASSED
Test 36: Seed: 36 - PASSED
Test 37: Seed: 37 - PASSED
Test 38: Seed: 38 - PASSED
Test 39: Seed: 39 - PASSED
Test 40: Seed: 40 - PASSED
Test 41: Seed: 41 - PASSED
Test 42: Seed: 42 - PASSED
Test 43: Seed: 43 - PASSED
Test 44: Seed: 44 - PASSED
Test 45: Seed: 45 - PASSED
Test 46: Seed: 46 - PASSED
Test 47: Seed: 47 - PASSED
Test 48: Seed: 48 - PASSED
Test 49: Seed: 49 - PASSED
Test 50: Seed: 50 - PASSED
Test 51: Seed: 51 - PASSED
Test 52: Seed: 52 - PASSED
Test 53: Seed: 53 - PASSED
Test 54: Seed: 54 - PASSED
Test 55: Seed: 55 - PASSED
Test 56: Seed: 56 - PASSED
Test 57: Seed: 57 - PASSED
Test 58: Seed: 58 - PASSED
Test 59: Seed: 59 - PASSED
Test 60: Seed: 60 - PASSED
Test 61: Seed: 61 - PASSED
Test 62: Seed: 62 - PASSED
Test 63: Seed: 63 - PASSED
Test 64: Seed: 64 - PASSED
Test 65: Seed: 65 - PASSED
Test 66: Seed: 66 - PASSED
Test 67: Seed: 67 - PASSED
Test 68: Seed: 68 - PASSED
Test 69: Seed: 69 - PASSED
Test 70: Seed: 70 - PASSED
Test 71: Seed: 71 - PASSED
Test 72: Seed: 72 - PASSED
Test 73: Seed: 73 - PASSED
Test 74: Seed: 74 - PASSED
Test 75: Seed: 75 - PASSED
Test 76: Seed: 76 - PASSED
Test 77: Seed: 77 - PASSED
Test 78: Seed: 78 - PASSED
Test 79: Seed: 79 - PASSED
Test 80: Seed: 80 - PASSED
Test 81: Seed: 81 - PASSED
Test 82: Seed: 82 - PASSED
Test 83: Seed: 83 - PASSED
Test 84: Seed: 84 - PASSED
Test 85: Seed: 85 - PASSED
Test 86: Seed: 86 - PASSED
Test 87: Seed: 87 - PASSED
Test 88: Seed: 88 - PASSED
Test 89: Seed: 89 - PASSED
Test 90: Seed: 90 - PASSED
Test 91: Seed: 91 - PASSED
Test 92: Seed: 92 - PASSED
Test 93: Seed: 93 - PASSED
Test 94: Seed: 94 - PASSED
Test 95: Seed: 95 - PASSED
Test 96: Seed: 96 - PASSED
Test 97: Seed: 97 - PASSED
Test 98: Seed: 98 - PASSED
Test 99: Seed: 99 - PASSED
Test 100: Seed: 100 - PASSED
Test 101: Seed: 101 - PASSED
Test 102: Seed: 102 - PASSED
Test 103: Seed: 103 - PASSED
Test 104: Seed: 104 - PASSED
Test 105: Seed: 105 - PASSED
Test 106: Seed: 106 - PASSED
